From,To,Weight
A14,A27,0.042
A23,A51,0.0414
A40,A50,0.041
A08,A21,0.0406
A44,A19,0.0405
A26,A07,0.0403
A01,A47,0.0398
A06,A46,0.0397
A08,A47,0.0394
A05,A42,0.0391
A39,A02,0.0386
A29,A28,0.0382
A18,A35,0.0375
A18,A39,0.0372
A21,A48,0.0371
A09,A39,0.037
A40,A25,0.0367
A18,A38,0.0364
A21,A35,0.0356
A19,A08,0.0351
A05,A10,0.035
A11,A35,0.0347
A14,A11,0.0341
A26,A32,0.0341
A38,A25,0.0341
A45,A28,0.034
A09,A26,0.0334
A34,A11,0.0331
A52,A51,0.033
A50,A12,0.0327
A52,A46,0.0326
A35,A18,0.0324
A32,A11,0.0323
A40,A39,0.0322
A51,A50,0.032
A49,A06,0.0318
A38,A28,0.0317
A11,A06,0.0316
A10,A42,0.0309
A16,A04,0.0308
A16,A52,0.0308
A50,A40,0.0307
A05,A48,0.0306
A16,A43,0.0305
A49,A48,0.0304
A06,A24,0.0303
A11,A51,0.0303
A47,A24,0.0303
A08,A32,0.0301
A14,A13,0.0299
A07,A40,0.0296
A26,A17,0.0295
A39,A20,0.0293
A17,A28,0.029
A40,A32,0.0285
A52,A50,0.0285
A11,A42,0.0284
A52,A42,0.0284
A01,A06,0.0282
A08,A26,0.0282
A32,A10,0.0282
A52,A35,0.0282
A50,A33,0.028
A48,A16,0.0278
A44,A02,0.0276
A44,A34,0.0275
A07,A28,0.0274
A24,A46,0.0274
A31,A35,0.0273
A44,A26,0.0271
A11,A48,0.027
A40,A20,0.0266
A26,A39,0.0265
A03,A29,0.0261
A48,A07,0.026
A45,A27,0.0255
A45,A25,0.0249
A05,A03,0.0244
A34,A20,0.0244
A23,A35,0.0243
A18,A33,0.0242
A31,A32,0.0242
A09,A12,0.0241
A17,A08,0.0238
A09,A06,0.0237
A26,A51,0.0234
A39,A16,0.0232
A17,A04,0.0231
A17,A52,0.0231
A21,A32,0.0231
A15,A32,0.023
A35,A06,0.0226
A09,A07,0.0224
A39,A03,0.0224
A18,A48,0.0223
A45,A43,0.0223
A45,A42,0.0222
A09,A21,0.0221
A35,A29,0.0221
A32,A06,0.022
A18,A32,0.0219
A31,A48,0.0219
A22,A37,0.0217
A52,A01,0.0216
A50,A27,0.0215
A34,A31,0.0214
A45,A06,0.0212
A35,A02,0.0211
A47,A11,0.0211
A01,A46,0.0208
A07,A48,0.0207
A45,A07,0.0206
A35,A16,0.0204
A06,A43,0.0203
A16,A19,0.0203
A47,A23,0.0202
A39,A37,0.02
A18,A01,0.0199
A44,A08,0.0199
A03,A50,0.0198
A49,A18,0.0196
A26,A28,0.0195
A44,A17,0.0195
A50,A39,0.0195
A08,A48,0.0194
A39,A28,0.0194
A18,A06,0.0193
A49,A28,0.0193
A15,A50,0.0189
A27,A35,0.0189
A22,A46,0.0187
A05,A26,0.0185
A14,A17,0.0181
A19,A07,0.018
A23,A07,0.018
A35,A36,0.0179
A29,A38,0.0177
A35,A44,0.0176
A22,A43,0.0174
A51,A11,0.0174
A47,A25,0.0173
A17,A41,0.017
A03,A30,0.0168
A18,A27,0.0168
A17,A46,0.0165
A09,A50,0.0164
A22,A47,0.0164
A20,A50,0.0163
A39,A19,0.0161
A40,A12,0.0161
A46,A06,0.0161
A06,A09,0.016
A22,A05,0.0158
A41,A36,0.0158
A48,A22,0.0158
A21,A42,0.0157
A22,A14,0.0156
A23,A46,0.0156
A49,A35,0.0156
A27,A10,0.0155
A29,A23,0.0155
A38,A09,0.0154
A45,A47,0.0153
A49,A14,0.0153
A11,A02,0.0152
A13,A43,0.0151
A10,A51,0.015
A39,A31,0.015
A47,A15,0.0148
A09,A41,0.0147
A26,A45,0.0147
A01,A38,0.0146
A21,A33,0.0145
A46,A34,0.0145
A26,A46,0.0142
A18,A40,0.0141
A49,A38,0.0141
A20,A46,0.0138
A30,A18,0.0138
A39,A22,0.0138
A21,A45,0.0137
A30,A16,0.0137
A24,A50,0.0135
A05,A38,0.0134
A14,A25,0.0134
A16,A46,0.0133
A40,A22,0.0133
A39,A09,0.0131
A12,A50,0.0129
A47,A17,0.0129
A49,A29,0.0129
A46,A48,0.0128
A47,A46,0.0128
A14,A08,0.0126
A19,A36,0.0126
A35,A13,0.0126
A40,A30,0.0126
A03,A34,0.0124
A05,A34,0.0123
A06,A22,0.0123
A22,A15,0.0122
A31,A45,0.0121
A44,A05,0.0121
A18,A31,0.0119
A03,A05,0.0117
A10,A44,0.0117
A26,A20,0.0117
A31,A42,0.0117
A38,A11,0.0117
A42,A33,0.0116
A03,A10,0.0115
A35,A50,0.0115
A46,A35,0.0115
A14,A47,0.0114
A45,A50,0.0113
A18,A03,0.0112
A22,A49,0.0112
A41,A15,0.0112
A52,A18,0.0112
A19,A18,0.0111
A39,A29,0.0111
A19,A38,0.011
A41,A31,0.011
A22,A44,0.0109
A09,A17,0.0108
A44,A18,0.0108
A32,A51,0.0107
A40,A23,0.0107
A40,A43,0.0107
A26,A49,0.0106
A44,A04,0.0106
A44,A52,0.0106
A17,A38,0.0105
A31,A33,0.0105
A03,A35,0.0104
A22,A50,0.0104
A23,A03,0.0102
A27,A07,0.0102
A30,A05,0.0102
A48,A01,0.0102
A49,A26,0.0101
A06,A28,0.01
A18,A43,0.01
A19,A05,0.01
A26,A19,0.00994
A47,A35,0.00994
A47,A26,0.00975
A46,A45,0.00973
A16,A14,0.00968
A12,A43,0.00951
A19,A26,0.00937
A22,A18,0.00936
A46,A29,0.00929
A05,A06,0.00928
A26,A43,0.00915
A01,A12,0.00899
A17,A10,0.00898
A03,A20,0.00888
A38,A30,0.00884
A03,A21,0.00883
A23,A45,0.00881
A49,A07,0.00868
A14,A03,0.00864
A11,A28,0.00858
A39,A21,0.00858
A34,A08,0.00856
A19,A11,0.00855
A40,A31,0.0085
A18,A45,0.00846
A23,A32,0.00845
A14,A43,0.00802
A38,A07,0.00797
A51,A47,0.00797
A14,A07,0.00793
A01,A04,0.0079
A01,A52,0.0079
A29,A20,0.00788
A42,A12,0.00784
A42,A32,0.0078
A24,A38,0.00767
A10,A36,0.00762
A50,A17,0.00754
A29,A15,0.0075
A41,A44,0.00742
A41,A11,0.00739
A38,A15,0.00738
A34,A09,0.00737
A49,A16,0.00715
A41,A20,0.00714
A21,A50,0.00709
A40,A21,0.00707
A40,A36,0.00704
A03,A25,0.00702
A13,A06,0.00701
A50,A25,0.00701
A24,A39,0.007
A29,A44,0.00682
A44,A09,0.0068
A46,A32,0.00678
A30,A34,0.00671
A41,A25,0.00671
A19,A39,0.0067
A30,A15,0.00668
A31,A49,0.00668
A31,A08,0.00656
A41,A08,0.00646
A47,A08,0.00645
A30,A47,0.0064
A32,A31,0.00633
A50,A22,0.00627
A41,A07,0.00625
A40,A17,0.0062
A10,A01,0.00616
A38,A17,0.00599
A26,A10,0.00597
A48,A13,0.00597
A23,A04,0.00595
A23,A52,0.00595
A47,A14,0.00595
A11,A29,0.00594
A27,A08,0.00592
A32,A18,0.00591
A42,A35,0.0059
A26,A12,0.00589
A34,A33,0.00588
A50,A34,0.00581
A19,A15,0.00579
A48,A41,0.00576
A42,A20,0.00573
A47,A28,0.00565
A03,A37,0.00561
A10,A05,0.0056
A09,A04,0.00547
A09,A52,0.00547
A18,A42,0.00542
A21,A06,0.00541
A34,A42,0.00541
A10,A31,0.00539
A19,A14,0.00537
A25,A15,0.00536
A18,A26,0.00535
A07,A50,0.00532
A22,A38,0.00529
A30,A27,0.00528
A41,A30,0.00527
A32,A44,0.00526
A42,A09,0.00522
A18,A19,0.00521
A23,A39,0.00517
A31,A03,0.00516
A45,A36,0.00516
A12,A38,0.0051
A26,A41,0.0051
A17,A30,0.00509
A39,A42,0.00509
A42,A25,0.00509
A46,A38,0.00505
A25,A14,0.00503
A51,A27,0.00503
A47,A13,0.00502
A31,A14,0.00501
A37,A08,0.00499
A22,A24,0.00489
A23,A08,0.00487
A25,A05,0.00487
A30,A38,0.00487
A19,A51,0.00485
A46,A09,0.00485
A32,A16,0.00483
A27,A24,0.00478
A42,A29,0.00472
A52,A24,0.00471
A30,A33,0.00469
A41,A43,0.00463
A23,A19,0.00459
A18,A04,0.00458
A18,A52,0.00458
A37,A09,0.00456
A15,A45,0.00455
A25,A44,0.00455
A37,A29,0.00452
A15,A48,0.00447
A40,A03,0.00447
A46,A47,0.00446
A30,A02,0.00445
A15,A35,0.00442
A17,A13,0.0044
A17,A14,0.00439
A31,A28,0.00438
A50,A11,0.00437
A38,A21,0.00429
A41,A12,0.00427
A47,A32,0.00426
A51,A06,0.00422
A45,A21,0.0042
A40,A08,0.00416
A18,A34,0.00409
A27,A28,0.00409
A18,A49,0.00407
A30,A23,0.00404
A31,A50,0.00404
A34,A29,0.00403
A37,A07,0.00402
A21,A28,0.00401
A40,A37,0.00399
A25,A18,0.00397
A29,A11,0.00397
A40,A07,0.00395
A30,A40,0.00394
A38,A13,0.00391
A10,A27,0.00388
A20,A49,0.00387
A50,A14,0.00384
A23,A38,0.00376
A22,A01,0.00374
A27,A15,0.00374
A10,A06,0.00372
A44,A48,0.0037
A19,A01,0.00364
A21,A14,0.00363
A46,A16,0.00362
A35,A01,0.00357
A45,A18,0.00354
A05,A04,0.00352
A05,A52,0.00352
A20,A35,0.00348
A32,A24,0.00347
A50,A44,0.00347
A37,A28,0.00343
A07,A01,0.00342
A19,A45,0.00341
A37,A25,0.0034
A37,A20,0.00339
A27,A04,0.00335
A27,A52,0.00335
A48,A09,0.00335
A38,A19,0.00333
A27,A29,0.00332
A47,A09,0.00332
A22,A11,0.00331
A49,A41,0.00329
A30,A31,0.00328
A11,A09,0.00324
A42,A21,0.00323
A51,A34,0.00323
A12,A02,0.0032
A11,A18,0.00317
A06,A29,0.00316
A40,A45,0.00314
A41,A29,0.00313
A49,A13,0.00312
A18,A51,0.00311
A40,A09,0.0031
A40,A19,0.0031
A42,A37,0.00309
A38,A49,0.00304
A40,A44,0.00304
A31,A29,0.00303
A47,A33,0.00303
A50,A31,0.003
A27,A42,0.00299
A43,A33,0.00295
A47,A42,0.00295
A41,A10,0.0029
A42,A05,0.0029
A50,A02,0.0029
A15,A33,0.00289
A32,A46,0.00289
A43,A09,0.00289
A41,A23,0.00288
A41,A24,0.00287
A45,A09,0.00285
A20,A38,0.00284
A25,A36,0.00284
A21,A51,0.00283
A41,A09,0.00282
A01,A49,0.0028
A29,A47,0.0028
A51,A32,0.00278
A39,A43,0.00276
A49,A32,0.00276
A29,A03,0.00274
A10,A08,0.00273
A49,A37,0.00273
A32,A42,0.00269
A46,A14,0.00266
A39,A44,0.00265
A29,A05,0.00261
A41,A05,0.00261
A45,A22,0.00258
A37,A17,0.00257
A50,A30,0.00257
A21,A49,0.00256
A47,A48,0.00256
A31,A19,0.00255
A46,A37,0.00255
A10,A17,0.00254
A49,A01,0.00254
A50,A29,0.00252
A10,A04,0.0025
A10,A52,0.0025
A51,A35,0.0025
A23,A11,0.00247
A51,A17,0.00247
A43,A29,0.00245
A25,A46,0.00242
A31,A51,0.00242
A50,A06,0.00241
A51,A46,0.00238
A42,A07,0.00237
A42,A24,0.00236
A30,A06,0.00234
A25,A49,0.00233
A14,A23,0.0023
A43,A35,0.0023
A50,A43,0.0023
A42,A19,0.00229
A42,A49,0.00228
A47,A03,0.00227
A50,A45,0.00227
A27,A03,0.00221
A39,A05,0.00221
A10,A07,0.00217
A33,A15,0.00217
A22,A03,0.00216
A29,A27,0.00214
A37,A12,0.00214
A41,A28,0.00214
A43,A28,0.00209
A34,A05,0.00207
A32,A02,0.00206
A43,A25,0.00206
A14,A19,0.00201
A34,A22,0.00201
A27,A14,0.002
A37,A35,0.002
A22,A34,0.00198
A37,A33,0.00197
A31,A22,0.00196
A07,A43,0.00195
A11,A16,0.00194
A37,A10,0.00194
A08,A50,0.00191
A30,A21,0.0019
A41,A06,0.0019
A19,A49,0.00188
A29,A14,0.00186
A11,A14,0.00185
A44,A36,0.00185
A51,A29,0.00181
A25,A23,0.0018
A38,A08,0.00179
A38,A44,0.00179
A31,A10,0.00176
A07,A26,0.00175
A22,A23,0.00174
A39,A04,0.00172
A39,A52,0.00172
A24,A08,0.00169
A42,A03,0.00167
A25,A51,0.00164
A33,A08,0.00164
A38,A34,0.00163
A27,A13,0.00162
A30,A24,0.00161
A33,A07,0.0016
A09,A38,0.00158
A04,A02,0.00155
A31,A07,0.00154
A37,A13,0.00154
A30,A10,0.00153
A47,A19,0.0015
A06,A05,0.00149
A20,A24,0.00148
A25,A40,0.00148
A20,A48,0.00146
A12,A04,0.00145
A12,A52,0.00145
A37,A48,0.00145
A43,A20,0.00145
A42,A18,0.00143
A33,A44,0.00141
A23,A10,0.0014
A30,A03,0.0014
A37,A11,0.0014
A51,A36,0.00138
A32,A23,0.00137
A12,A33,0.00136
A15,A06,0.00136
A43,A42,0.00135
A41,A46,0.00134
A33,A34,0.00133
A42,A23,0.00133
A25,A11,0.00132
A29,A36,0.00132
A21,A07,0.00131
A29,A31,0.0013
A31,A05,0.00129
A33,A11,0.00128
A45,A05,0.00128
A19,A21,0.00126
A38,A32,0.00124
A25,A01,0.00123
A32,A14,0.00123
A15,A39,0.0012
A25,A16,0.0012
A41,A40,0.0012
A42,A30,0.0012
A23,A13,0.00119
A19,A44,0.00118
A40,A33,0.00117
A42,A26,0.00117
A33,A29,0.00114
A43,A40,0.00114
A46,A36,0.00114
A33,A51,0.00113
A27,A32,0.00112
A23,A14,0.00111
A51,A07,0.00111
A42,A16,0.0011
A43,A10,0.0011
A12,A08,0.00108
A43,A17,0.00108
A32,A38,0.00107
A37,A21,0.00107
A11,A13,0.00106
A15,A49,0.00105
A17,A05,0.00105
A27,A09,0.00105
A17,A37,0.00103
A19,A17,0.00103
A27,A48,0.00103
A37,A36,0.00103
A43,A48,0.00103
A46,A25,0.00103
A22,A02,0.00102
A37,A30,0.00101
A23,A22,0.000992
A29,A17,0.000986
A22,A41,0.000975
A33,A14,0.000969
A14,A31,0.000968
A21,A01,0.000961
A25,A03,0.000941
A12,A47,0.00094
A25,A24,0.000938
A33,A05,0.000931
A25,A34,0.000905
A51,A09,0.000905
A46,A50,0.000882
A38,A06,0.00088
A24,A03,0.000874
A30,A37,0.000864
A24,A02,0.00086
A43,A14,0.000847
A22,A42,0.000836
A26,A33,0.000832
A40,A05,0.000832
A02,A07,0.000819
A20,A01,0.000819
A31,A13,0.000819
A41,A27,0.000812
A37,A44,0.000806
A25,A02,0.000798
A51,A40,0.000795
A24,A21,0.000793
A39,A30,0.000784
A37,A51,0.000774
A29,A02,0.000762
A46,A41,0.000762
A10,A21,0.000761
A28,A46,0.00076
A37,A24,0.000756
A20,A06,0.000745
A33,A06,0.000745
A41,A13,0.00073
A25,A31,0.000703
A43,A45,0.000703
A20,A32,0.000693
A20,A14,0.00068
A03,A24,0.000671
A33,A12,0.000671
A28,A50,0.000656
A29,A08,0.000656
A27,A46,0.000652
A46,A18,0.000652
A43,A19,0.000646
A37,A45,0.000636
A51,A22,0.000623
A20,A34,0.000621
A27,A19,0.00062
A50,A21,0.00061
