From,To,Weight
A45,A32,0.0666
A17,A44,0.0667
A50,A28,0.0668
A08,A11,0.0671
A08,A14,0.0672
A13,A30,0.0673
A01,A23,0.0677
A50,A23,0.0677
A16,A12,0.0678
A16,A15,0.0679
A05,A07,0.0686
A29,A10,0.0687
A47,A22,0.0688
A03,A36,0.0691
A08,A20,0.0694
A14,A49,0.0694
A48,A03,0.0703
A39,A15,0.0714
A05,A43,0.0717
A46,A46,0.0721
A08,A10,0.0729
A50,A15,0.0729
A10,A33,0.0735
A13,A02,0.0738
A40,A11,0.0771
A33,A33,0.0773
A40,A10,0.0778
A45,A35,0.0782
A09,A11,0.0786
A34,A32,0.0786
A06,A49,0.08
A39,A11,0.0801
A03,A11,0.0808
A01,A11,0.0815
A35,A49,0.082
A38,A20,0.0821
A06,A07,0.0831
A14,A05,0.0836
A19,A19,0.0836
A09,A23,0.0838
A26,A18,0.0841
A38,A24,0.0846
A08,A12,0.0849
A08,A36,0.0849
A13,A15,0.085
A52,A37,0.0852
A19,A22,0.0856
A52,A20,0.0856
A42,A10,0.0859
A14,A28,0.0863
A44,A38,0.0871
A17,A12,0.0874
A34,A02,0.0891
A17,A15,0.0907
A52,A30,0.0913
A35,A46,0.092
A03,A17,0.0921
A13,A22,0.0922
A05,A32,0.0934
A13,A29,0.0941
A07,A27,0.0947
A07,A19,0.0953
A46,A23,0.0957
A37,A22,0.0961
A35,A34,0.0972
A08,A07,0.0975
A16,A28,0.0988
A34,A51,0.0989
A16,A30,0.0993
A52,A22,0.103
A11,A17,0.104
A52,A14,0.104
A38,A46,0.107
A17,A31,0.109
A16,A11,0.11
A44,A51,0.11
A47,A47,0.111
A17,A40,0.112
A47,A40,0.112
A19,A03,0.113
A43,A12,0.113
A44,A30,0.113
A44,A44,0.113
A45,A46,0.113
A52,A25,0.114
A09,A46,0.116
A11,A11,0.116
A39,A27,0.116
A26,A16,0.117
A48,A24,0.117
A06,A35,0.118
A17,A11,0.118
A49,A20,0.118
A14,A35,0.12
A16,A20,0.12
A14,A32,0.121
A52,A29,0.121
A09,A27,0.124
A07,A23,0.125
A44,A14,0.126
A50,A50,0.126
A09,A40,0.128
A13,A47,0.129
A48,A12,0.129
A16,A21,0.13
A35,A11,0.13
A16,A25,0.131
A13,A13,0.132
A09,A36,0.133
A13,A44,0.134
A38,A10,0.134
A29,A46,0.135
A14,A14,0.136
A16,A09,0.136
A16,A17,0.138
A08,A29,0.14
A24,A24,0.14
A52,A15,0.141
A13,A27,0.143
A05,A22,0.145
A45,A45,0.145
A05,A25,0.147
A03,A07,0.149
A03,A08,0.149
A06,A06,0.15
A11,A23,0.15
A50,A42,0.15
A39,A25,0.151
A49,A25,0.152
A34,A34,0.153
A35,A20,0.153
A38,A12,0.154
A13,A09,0.155
A47,A39,0.155
A01,A36,0.157
A27,A51,0.158
A39,A51,0.158
A49,A45,0.159
A16,A18,0.16
A35,A39,0.16
A09,A18,0.161
A35,A47,0.161
A09,A44,0.166
A13,A37,0.169
A44,A50,0.169
A13,A40,0.17
A14,A33,0.17
A44,A06,0.172
A40,A49,0.174
A16,A29,0.175
A07,A03,0.176
A39,A24,0.176
A16,A22,0.18
A17,A07,0.18
A07,A07,0.181
A13,A18,0.181
A06,A19,0.182
A13,A25,0.182
A16,A16,0.185
A07,A06,0.186
A35,A30,0.187
A48,A25,0.195
A06,A32,0.198
A44,A37,0.198
A48,A20,0.198
A49,A39,0.202
A13,A16,0.203
A48,A21,0.209
A50,A51,0.209
A35,A21,0.21
A03,A03,0.211
A05,A29,0.213
A09,A09,0.213
A13,A31,0.213
A39,A10,0.218
A05,A09,0.219
A03,A06,0.22
A48,A23,0.223
A35,A23,0.228
A49,A47,0.229
A09,A15,0.233
A47,A51,0.237
A16,A07,0.24
A03,A04,0.246
A03,A52,0.246
A16,A36,0.249
A35,A27,0.25
A09,A14,0.259
A41,A21,0.259
A45,A12,0.26
A46,A20,0.264
A49,A50,0.264
A09,A05,0.265
A48,A27,0.265
A39,A34,0.275
A44,A33,0.283
A17,A17,0.284
A32,A28,0.285
A17,A06,0.29
A48,A30,0.295
A08,A08,0.297
A34,A17,0.298
A13,A14,0.302
A33,A24,0.304
A16,A08,0.313
A35,A37,0.314
A46,A28,0.314
A45,A11,0.318
A35,A31,0.331
A51,A12,0.334
A06,A03,0.336
A35,A25,0.341
A05,A01,0.353
A32,A40,0.354
A48,A11,0.358
A01,A01,0.386
A26,A26,0.399
A05,A05,0.412
A44,A42,0.414
A48,A43,0.414
A48,A40,0.415
A26,A13,0.423
A35,A38,0.423
A49,A27,0.435
A38,A29,0.437
A35,A43,0.456
A44,A49,0.456
A44,A45,0.457
A48,A46,0.459
A49,A40,0.459
A46,A42,0.465
A52,A02,0.474
A32,A15,0.49
A48,A15,0.701
A46,A33,0.749
A07,A02,0.819
A44,A32,0.851
A48,A44,0.852
A44,A35,0.853
A48,A31,0.86
A48,A36,0.963
